"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"105","model 17 vs 3","adni","_execfunc","COMBINED PVALUES","4","0.0719677582544875","4","0.467125502181732"
"106","model 17 vs 4","adni","","MMSE.bl","0.0249679774558399","0.0290185748177043","0.0231437898874118","0.126790596773771"
"107","model 17 vs 4","adni","","CDRSB.bl","-0.00897627866858956","0.196247355333404","-0.0153293430888185","0.0944104380832796"
"108","model 17 vs 4","adni","","EcogSPTotal.bl","-0.00669235805219605","0.105952125283644","-0.00937782227772778","0.0856318450363174"
"109","model 17 vs 4","adni","","ADAS13.bl","-0.0477070723310773","0.261159182467536","-0.071521460415955","0.19840254028577"
"110","model 17 vs 4","adni","","MOCA.bl","0.0109003588397207","0.621122696556693","0.0240494996179471","0.40132701175888"
"111","model 17 vs 4","adni","","GDTOTAL.bl","0.0080503485059574","0.450587849436899","0.0105955690079832","0.447666432279459"
"112","model 17 vs 4","adni","","PTAU.bl","-0.165783785707097","0.0950754799872994","-0.223079647285156","0.0996738828424677"
"113","model 17 vs 4","adni","","TAU.bl","-1.56577516957806","0.0844117874543341","-1.98540437863494","0.109017880512813"
"114","model 17 vs 4","adni","","ABETA.bl","1.70774331902215","0.630768016494598","-0.0335538446273929","0.994376951301017"
"115","model 17 vs 4","adni","","COMBINED PVALUES","8","0.0162131414087398","8","0.0568582462169259"
"116","model 17 vs 4","adni","_memory","EcogSPMem.bl","-0.00647215024464399","0.245556808533282","-0.0112771340259305","0.126521456264558"
"117","model 17 vs 4","adni","_memory","MMSE_RECALL.bl","-0.01311429981362","0.0274866702604544","-0.0139918560494318","0.0715461244446402"
"118","model 17 vs 4","adni","_memory","ADAS_MEMORY.bl","-0.0499362853012443","0.170444942782445","-0.0678696224960929","0.158870589726414"
"119","model 17 vs 4","adni","_memory","MOCA_MEMORY.bl","-0.0046395122806051","0.880240059445545","0.0172885270117365","0.668072226440813"
"120","model 17 vs 4","adni","_memory","CDMEMORY.bl","-0.00189822400451324","0.348527496794312","-0.00477997028098388","0.0736837022029331"
"121","model 17 vs 4","adni","_memory","COMBINED PVALUES","5","0.107452883370347","5","0.0193920190721757"
"122","model 17 vs 4","adni","_language","EcogSPLang.bl","-0.00552267346654934","0.215853190229426","-0.00657704853027677","0.269756582082933"
"123","model 17 vs 4","adni","_language","MMSE_LANGUAGE.bl","-0.0058938370970054","0.147540272951311","-0.00164686559809618","0.756743304285448"
"124","model 17 vs 4","adni","_language","ADAS_LANGUAGE.bl","0.00182267280224409","0.749167382534434","0.00676702956497775","0.341984904560304"
"125","model 17 vs 4","adni","_language","MOCA_LANGUAGE.bl","-0.0332067920765079","0.365118519782467","0.0239863862364094","0.6195570021141"
"126","model 17 vs 4","adni","_language","COMBINED PVALUES","4","0.225686710328147","4","0.495927103929806"
"127","model 17 vs 4","adni","_orientation","MMSE_ORIENTATION.bl","-0.000732496927441897","0.886907813358591","-0.00583140991607722","0.392382918539053"
"128","model 17 vs 4","adni","_orientation","ADAS_ORIENTATION.bl","0.00489959721660974","0.332799193962543","0.00362031516558711","0.586715428262867"
"129","model 17 vs 4","adni","_orientation","MOCA_ORIENTATION.bl","-0.0024330273494049","0.522841762910573","-0.0017800456245206","0.711272910396785"
"130","model 17 vs 4","adni","_orientation","CDORIENT.bl","-0.00427256424608934","0.021494671798792","-0.00715724348737128","0.00331898872457077"
"131","model 17 vs 4","adni","_orientation","COMBINED PVALUES","4","0.276176333388224","4","0.134430006363961"
"132","model 17 vs 4","adni","_visuospatial","EcogSPVisspat.bl","-0.00838606195554619","0.0233078001023479","-0.00848274435628399","0.0759693729699518"
"133","model 17 vs 4","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","0.0015790951528151","0.700227850878145","0.000638136260723206","0.904577279369932"
"134","model 17 vs 4","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0141573900149104","0.0477226937641788","0.0115779932315176","0.215495832541936"
"135","model 17 vs 4","adni","_visuospatial","COMBINED PVALUES","3","0.0352799146764632","3","0.299229148433588"
"136","model 17 vs 4","adni","_execfunc","EcogSPEF.bl","-0.00623278018365612","0.151407230306779","-0.00832400717292217","0.140770675200202"
"137","model 17 vs 4","adni","_execfunc","MMSE_ATTCALC.bl","-0.00308255695876997","0.620079147116809","0.00243930777051252","0.768596204450475"
"138","model 17 vs 4","adni","_execfunc","MOCA_EF.bl","0.0121333561186485","0.357135238762739","0.0141952434805965","0.418527118314156"
"139","model 17 vs 4","adni","_execfunc","CDJUDGE.bl","-0.000875148137088694","0.659290806272641","-0.00229088838143118","0.385912688553538"
"140","model 17 vs 4","adni","_execfunc","COMBINED PVALUES","4","0.366866818386295","4","0.337556429519224"
"141","model 17 vs 5","adni","","MMSE.bl","0.018509371694617","0.0834143663617219","0.0109020101390556","0.490979620884063"
"142","model 17 vs 5","adni","","CDRSB.bl","-0.0153903322092426","0.0182632712779907","-0.0255875779606675","0.00739737299296684"
"143","model 17 vs 5","adni","","EcogSPTotal.bl","-0.00743006975672288","0.0554205662640676","-0.00775461398439671","0.171741974590194"
"144","model 17 vs 5","adni","","ADAS13.bl","-0.0652184032310201","0.100482601711806","-0.0749062287605085","0.192704877411153"
"145","model 17 vs 5","adni","","MOCA.bl","0.0165060957687647","0.421234955965816","0.0193918241857617","0.520037593500938"
"146","model 17 vs 5","adni","","GDTOTAL.bl","0.00447541791139715","0.654019028842378","0.00539854805448113","0.71332849699484"
"147","model 17 vs 5","adni","","PTAU.bl","-0.150265169891551","0.106889439249314","-0.291175096783158","0.0387276678663407"
"148","model 17 vs 5","adni","","TAU.bl","-1.32886919220148","0.11849559768457","-2.53655034248846","0.0483406814484515"
"149","model 17 vs 5","adni","","ABETA.bl","2.73599901401875","0.412762710752506","-0.993575844083419","0.841331920122055"
"150","model 17 vs 5","adni","","COMBINED PVALUES","8","0.00285354003931418","8","0.0278418579421463"
"151","model 17 vs 5","adni","_memory","EcogSPMem.bl","-0.0101073195403513","0.0534689927678295","-0.0159582063228324","0.0402316993043985"
