"","run_ind","exp_ind","experiment","dataset","seed","RMSE","ASSOC","RMSE_t","ASSOC_t","RMSE_t2","ASSOC_t2","RMSE_ADNI","ASSOC_ADNI","RMSE_UCL","ASSOC_UCL","RMSE_EPAD","ASSOC_EPAD","RMSE_ADNI_CN","ASSOC_ADNI_CN","RMSE_ADNI_MCI","ASSOC_ADNI_MCI","RMSE_ADNI_AD","ASSOC_ADNI_AD","exp_grp"
"450",450,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4575,295.72407891931,0.456069826985172,307.192025783599,0.40591758623316,327.312922659262,0.484874233878122,328.817786244994,0.512689327998921,316.6661084911,0.0558497549327948,325.808059073531,0.457059139757323,333.824200374359,0.480848944779779,311.439885776402,0.580039979236212,371.548494717708,0.47943051640843,10
"451",451,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4576,294.84886994591,0.458505425063147,307.529791320014,0.405998885144071,328.125441595181,0.48711593674805,330.128385122577,0.515436129096751,313.696304856503,0.0852144374542588,326.122498067786,0.458795744399349,339.316630164037,0.513416989525199,314.615889118173,0.572180223097643,360.95790459817,0.512129621290699,10
"452",452,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4577,293.904879437099,0.464857978409955,308.055830228879,0.402879056138112,328.271382105563,0.483176985337675,330.314348552553,0.510372308968865,313.6296867923,0.0909510623422441,326.228415658573,0.455981661706484,338.457793918168,0.486183812882954,311.418639461395,0.586419499101127,372.143705494603,0.489398435346959,10
"453",453,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4578,295.921289894323,0.457769758212966,306.345272574366,0.408600839040332,327.267095207729,0.496564163657487,327.253165238489,0.534216935986943,321.972901081332,0.00679476650988476,327.281025176969,0.458911391328031,341.150568915596,0.498479778647498,310.252076073247,0.597138729759205,354.330398876832,0.524692989765494,10
"454",454,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4579,296.317490002733,0.471490954382491,305.595837072949,0.397291148291482,329.332840754673,0.484739040836354,332.801759563107,0.503898437135143,320.528747612697,0.0156373818105798,325.863921946238,0.465579644537565,341.37111650835,0.499270622788615,314.669794534478,0.577155976892731,371.905835905364,0.473308608327318,10
"455",455,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4580,295.832732670768,0.46195194348787,306.372679996476,0.404239968983848,327.785701064205,0.48679223005719,330.670677226477,0.509058136088399,319.286207983462,0.00578187885915139,324.900724901933,0.464526324025981,342.021118593939,0.484437356321981,309.619643930065,0.593118323390054,373.110417874776,0.481038614580462,10
"456",456,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4581,295.194617642659,0.459005731375864,307.025670171144,0.406902013562246,327.12023313373,0.493054054488969,329.317700081929,0.518197446251527,320.911258675413,-0.0142400114477477,324.922766185531,0.46791066272641,340.819734838637,0.470545808980283,311.2151847584,0.590636133803672,363.500086140634,0.502370348249079,10
"457",457,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4582,295.896721979218,0.457227463925504,307.14461274042,0.4039305966198,327.540013248495,0.492869945484111,329.305748063792,0.520445985779532,315.889582552196,0.0732753860066141,325.774278433198,0.46529390518869,338.972310588145,0.495786230638196,312.66657105391,0.58415185246209,362.478456701191,0.501710907669111,10
"458",458,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4583,297.93681677492,0.457698183259699,305.424937102017,0.401647360395032,329.576579432885,0.480062712262736,332.403812077907,0.503158061217186,317.956965764336,0.0340654708284615,326.749346787864,0.456967363308286,342.92626242875,0.495687810710082,313.697135619729,0.577393776097665,369.887647976539,0.492786292558098,10
"459",459,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4584,295.673019988141,0.463961695073393,306.635161081312,0.402300582361437,328.656008258479,0.483889060977159,330.1761727947,0.514690328853195,313.928742685893,0.0701261597601798,327.135843722257,0.453087793101122,340.21648621681,0.493643118911037,312.199998835446,0.582037508873805,366.4287582493,0.475611083541687,10
