"","models compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"602","model 17 vs 9","epad","","fav_learn_r2_correct","2.58488228004957","0.0078432913145604","0.660760785730185","6.88e-01","6.6e-01","0.0226359318224059","0.35636292420347","6.44e-01","3.56e-01"
"603","model 17 vs 9","epad","","fav_learn_r1_correct","2.58488228004957","0.0176042176497565","0.26239929184563","4.45e-01","2.62e-01","0.01353069640787","0.53365304203166","7.98e-01","5.34e-01"
"604","model 17 vs 9","epad","","fav_rec_total_correct","2.47941176470588","0.00868820890967803","0.2193306059574","1.66e-01","2.19e-01","-0.00252927894062619","0.804267302742903","9.29e-01","8.04e-01"
"605","model 17 vs 9","epad","","gds_total","2.40766550522648","0.0309728306702939","0.552321505659398","1.47e-01","5.53e-01","0.131328663569543","0.0853043087728747","1.99e-01","8.51e-02"
"606","model 17 vs 9","epad","","ptau_result","2.20323325635104","0.0117107476759648","0.955151113049744","1.93e-01","9.55e-01","0.157459002280225","0.581459135454987","1.55e-01","5.81e-01"
"607","model 17 vs 9","epad","","ttau_result","2.20554272517321","16.7474149041747","0.39980112677104","2.16e-01","4e-01","32.1807532493925","0.235439624132196","6.85e-02","2.35e-01"
"608","model 17 vs 9","epad","","abeta_1_42_result","2.20554272517321","78.6836616270227","0.87254438719864","6.73e-01","8.73e-01","-93.1111008865516","0.889870822450237","9.82e-01","8.9e-01"
"609","model 17 vs 9","epad","","st_trial_total","3.06040709126724","-0.052280046377656","0.656930527657161","6.25e-02","6.57e-01","0.166915703224844","0.309845605294823","2.06e-01","3.1e-01"
"610","model 17 vs 9","epad","","fms_med_total","3.06040709126724","0.0553888641643916","0.584761810403112","5.31e-01","5.85e-01","0.267565598531638","0.0642854437603636","8.77e-02","6.4e-02"
"611","model 17 vs 9","epad","","COMBINED PVALUES","0","13","0","0","0.630914803821054","13","0","0","0.163581425318726"
"612","model 17 vs 9","epad","_memory","rbans_delayed_memory_index","3.05595786701777","-0.131739004622077","0.815955197399587","7.98e-01","8.17e-01","0.638477958112379","0.432739507540261","7.34e-01","4.34e-01"
