"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"56","model 17 vs 1","epad","_memory","COMBINED PVALUES","4","0.041140440437856","4","0.0213129191496809"
"57","model 17 vs 1","epad","_language","rbans_language_index.bl","0.0425015546624396","0.248827970440587","0.0517102325763822","0.404566917361516"
"58","model 17 vs 1","epad","_language","mmse_naming_total.bl","0.000185936876079406","0.458326415880394","0.000519293245078441","0.255024628787714"
"59","model 17 vs 1","epad","_language","COMBINED PVALUES","2","0.289944504518878","2","0.262188973031114"
"60","model 17 vs 1","epad","_orientation","mmse_orientation_total.bl","-0.00153040947959349","0.476939205780348","0.00223778832686718","0.542506417839804"
"61","model 17 vs 1","epad","_orientation","cdr_orientation.bl","-0.00132779357306111","0.0167473671421538","-0.00100129582323283","0.264709855997735"
"62","model 17 vs 1","epad","_orientation","COMBINED PVALUES","2","0.0612604507191019","2","0.355985575018019"
"63","model 17 vs 1","epad","_visuospatial","flanker_score.bl","0.00660406409180968","0.0530844700780877","0.00727994343495093","0.171928028681587"
"64","model 17 vs 1","epad","_visuospatial","fms_med_total.bl","-0.000876753820009244","0.942186652393805","-0.0126801027511079","0.532290761095017"
"65","model 17 vs 1","epad","_visuospatial","st_trial_total.bl","0.0370322075054324","0.0119237368523323","0.0424481632617091","0.0868103836276155"
"66","model 17 vs 1","epad","_visuospatial","rbans_visuo_constructional_index.bl","0.102208925203839","0.0667451934624199","0.136770474586605","0.138869173563019"
"67","model 17 vs 1","epad","_visuospatial","COMBINED PVALUES","4","0.0286407396637583","4","0.0488801821262314"
"68","model 17 vs 1","epad","_execfunc","mmse_calc_total.bl","0.0130418782834219","1.54203715039042e-05","0.0154559771059445","0.00262440202875354"
"69","model 17 vs 1","epad","_execfunc","cdr_judgement.bl","-0.00164339118859462","0.0247893560667597","-0.00146329114885126","0.226671677132342"
"70","model 17 vs 1","epad","_execfunc","COMBINED PVALUES","2","7.28489186705373e-06","2","0.00613970537307915"
"71","model 17 vs 2","adni","","MMSE.bl","0.0358165004178654","0.00448452166672014","0.0333255884202516","0.104121010005091"
"72","model 17 vs 2","adni","","CDRSB.bl","-0.0258070182193759","0.00126310693222076","-0.025705377511736","0.0441924560923883"
"73","model 17 vs 2","adni","","EcogSPTotal.bl","-0.0086906769328359","0.0159330294084171","-0.00405674185115141","0.484272840899509"
"74","model 17 vs 2","adni","","ADAS13.bl","-0.159899922346262","0.000374821636306639","-0.185644631478513","0.0101604785059302"
"75","model 17 vs 2","adni","","MOCA.bl","0.0595222611342017","0.00525183801796934","0.078886249089478","0.0208528508517799"
"76","model 17 vs 2","adni","","GDTOTAL.bl","0.00503097417759223","0.515981581509425","0.000181156823708729","0.988760097319944"
"77","model 17 vs 2","adni","","PTAU.bl","-0.102109406738806","0.193121684228337","-0.149403988874751","0.237489947679989"
"78","model 17 vs 2","adni","","TAU.bl","-1.00962638556634","0.162624726561559","-1.60871523389777","0.169920121762805"
"79","model 17 vs 2","adni","","ABETA.bl","4.21266787026967","0.106561812445606","0.252159716221659","0.952488580958074"
"80","model 17 vs 2","adni","","COMBINED PVALUES","8","6.87824874336941e-08","8","0.0553342459607052"
"81","model 17 vs 2","adni","_memory","EcogSPMem.bl","-0.00956958253336802","0.0308630895530915","-0.00386319329741168","0.58727715342238"
"82","model 17 vs 2","adni","_memory","MMSE_RECALL.bl","-0.0136662275908661","0.00870835295362527","-0.0157030610162916","0.060428268008482"
"83","model 17 vs 2","adni","_memory","ADAS_MEMORY.bl","-0.108925440677565","0.000502510604383592","-0.118610095474495","0.0186874426017122"
"84","model 17 vs 2","adni","_memory","MOCA_MEMORY.bl","0.0483841575994081","0.0396350498456666","0.0818861819778782","0.0281956309609794"
"85","model 17 vs 2","adni","_memory","CDMEMORY.bl","-0.00529642105890355","0.0047383817403843","-0.00631601516142961","0.0360192104181356"
"86","model 17 vs 2","adni","_memory","COMBINED PVALUES","5","5.33601488867578e-08","5","0.000726811853101786"
"87","model 17 vs 2","adni","_language","EcogSPLang.bl","-0.00745862019382178","0.0499997224366589","-0.00558697893415207","0.361770554377421"
"88","model 17 vs 2","adni","_language","MMSE_LANGUAGE.bl","-0.00453847445412555","0.180962339739406","-0.00322166220552868","0.560745669148929"
"89","model 17 vs 2","adni","_language","ADAS_LANGUAGE.bl","-0.0152377012973093","0.0199728720764663","-0.024017162660867","0.0283269652810923"
"90","model 17 vs 2","adni","_language","MOCA_LANGUAGE.bl","0.0311494936609048","0.26457526519058","0.022446215042311","0.620863302466337"
"91","model 17 vs 2","adni","_language","COMBINED PVALUES","4","0.00439537410768252","4","0.184180883197866"
"92","model 17 vs 2","adni","_orientation","MMSE_ORIENTATION.bl","-0.00716814101288738","0.261602375612346","-0.00952354251758539","0.359632043740516"
"93","model 17 vs 2","adni","_orientation","ADAS_ORIENTATION.bl","-0.00740461748982435","0.220781548587486","-0.00251778767918469","0.803839349118994"
"94","model 17 vs 2","adni","_orientation","MOCA_ORIENTATION.bl","0.00554844434779833","0.253003259472781","0.00422637645663993","0.594543911830824"
"95","model 17 vs 2","adni","_orientation","CDORIENT.bl","-0.0045685198243362","0.0139978744743871","-0.00316027956483148","0.298673295583642"
"96","model 17 vs 2","adni","_orientation","COMBINED PVALUES","4","0.0163726600910113","4","0.541217342242345"
"97","model 17 vs 2","adni","_visuospatial","EcogSPVisspat.bl","-0.0114298405049721","0.00104117496700854","-0.00467882627499306","0.401335105968339"
"98","model 17 vs 2","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","-0.00197882950908971","0.55822970650492","-0.00195754826670183","0.723518454137525"
"99","model 17 vs 2","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0173987907909971","0.00374402523520468","0.0116243466858841","0.238957472118141"
